id,id_cl,label,given_original_label,mturk_given,mturk_guessed,mturk_neutral,mturk_off_topic
216801,test/pos/4301_9,1,Positive,0,2,0,3
224638,test/pos/12138_7,1,Positive,1,1,3,0
217490,test/pos/4990_7,1,Positive,0,5,0,0
215295,test/pos/2795_7,1,Positive,0,3,2,0
224016,test/pos/11516_7,1,Positive,4,0,1,0
214099,test/pos/1599_7,1,Positive,0,5,0,0
220135,test/pos/7635_7,1,Positive,0,3,2,0
224678,test/pos/12178_7,1,Positive,0,3,2,0
203794,test/neg/3794_4,0,Negative,0,5,0,0
202063,test/neg/2063_4,0,Negative,0,5,0,0
201682,test/neg/1682_2,0,Negative,0,3,1,1
204788,test/neg/4788_1,0,Negative,0,4,0,1
211716,test/neg/11716_2,0,Negative,0,5,0,0
212914,test/pos/414_9,1,Positive,0,5,0,0
202370,test/neg/2370_4,0,Negative,0,4,1,0
223789,test/pos/11289_10,1,Positive,0,3,2,0
222866,test/pos/10366_8,1,Positive,2,1,0,2
214630,test/pos/2130_7,1,Positive,0,1,4,0
212130,test/neg/12130_1,0,Negative,0,5,0,0
219326,test/pos/6826_7,1,Positive,0,4,0,1
222232,test/pos/9732_10,1,Positive,0,5,0,0
207149,test/neg/7149_3,0,Negative,0,5,0,0
218364,test/pos/5864_10,1,Positive,0,5,0,0
204661,test/neg/4661_3,0,Negative,0,5,0,0
205827,test/neg/5827_4,0,Negative,0,5,0,0
210409,test/neg/10409_2,0,Negative,0,5,0,0
214394,test/pos/1894_10,1,Positive,0,3,2,0
209510,test/neg/9510_3,0,Negative,0,1,4,0
209528,test/neg/9528_1,0,Negative,0,5,0,0
204805,test/neg/4805_4,0,Negative,0,5,0,0
206170,test/neg/6170_4,0,Negative,0,3,2,0
217937,test/pos/5437_8,1,Positive,0,4,1,0
207098,test/neg/7098_1,0,Negative,0,5,0,0
204201,test/neg/4201_1,0,Negative,0,5,0,0
203486,test/neg/3486_1,0,Negative,0,5,0,0
210201,test/neg/10201_1,0,Negative,0,5,0,0
203391,test/neg/3391_4,0,Negative,0,5,0,0
201056,test/neg/1056_3,0,Negative,0,3,0,2
207144,test/neg/7144_4,0,Negative,0,5,0,0
201771,test/neg/1771_4,0,Negative,0,4,1,0
206618,test/neg/6618_1,0,Negative,0,5,0,0
205102,test/neg/5102_3,0,Negative,0,5,0,0
203767,test/neg/3767_4,0,Negative,0,5,0,0
200624,test/neg/624_3,0,Negative,0,5,0,0
208052,test/neg/8052_4,0,Negative,0,4,0,1
207450,test/neg/7450_4,0,Negative,0,5,0,0
211242,test/neg/11242_2,0,Negative,0,2,0,3
206637,test/neg/6637_1,0,Negative,0,5,0,0
209071,test/neg/9071_3,0,Negative,0,5,0,0
207227,test/neg/7227_4,0,Negative,0,4,1,0
208753,test/neg/8753_4,0,Negative,0,4,1,0
209766,test/neg/9766_3,0,Negative,0,5,0,0
204615,test/neg/4615_4,0,Negative,0,5,0,0
207837,test/neg/7837_4,0,Negative,0,5,0,0
200326,test/neg/326_1,0,Negative,0,5,0,0
210154,test/neg/10154_2,0,Negative,1,4,0,0
211329,test/neg/11329_4,0,Negative,0,5,0,0
217083,test/pos/4583_8,1,Positive,0,2,3,0
214681,test/pos/2181_7,1,Positive,1,3,1,0
202815,test/neg/2815_4,0,Negative,0,5,0,0
215567,test/pos/3067_7,1,Positive,0,3,2,0
224037,test/pos/11537_7,1,Positive,1,3,1,0
222694,test/pos/10194_7,1,Positive,5,0,0,0
212253,test/neg/12253_3,0,Negative,0,4,1,0
220204,test/pos/7704_10,1,Positive,0,1,1,3
201591,test/neg/1591_2,0,Negative,0,4,0,1
214067,test/pos/1567_7,1,Positive,3,2,0,0
222173,test/pos/9673_7,1,Positive,0,4,1,0
202919,test/neg/2919_4,0,Negative,0,5,0,0
218513,test/pos/6013_7,1,Positive,3,1,1,0
210929,test/neg/10929_4,0,Negative,0,4,1,0
202860,test/neg/2860_4,0,Negative,0,4,1,0
218772,test/pos/6272_9,1,Positive,3,1,0,1
200240,test/neg/240_4,0,Negative,0,3,2,0
212256,test/neg/12256_4,0,Negative,0,4,1,0
218935,test/pos/6435_10,1,Positive,1,4,0,0
215154,test/pos/2654_7,1,Positive,0,5,0,0
200123,test/neg/123_4,0,Negative,0,4,1,0
217949,test/pos/5449_7,1,Positive,0,2,3,0
213397,test/pos/897_8,1,Positive,2,0,3,0
206147,test/neg/6147_1,0,Negative,0,3,0,2
