idx,label,votes_negative,votes_neither,votes_neutral,votes_positive,FML_3_pred,FML_3_flagged,FML_3_sent,FML_3_result_mt,FME_pred,FME_flagged,FME_sent,FME_result_mt,FME_CL_flagged,FME_CL_sent,FME_CL_result_mt,BL_CL_pred,BL_CL_flagged,BL_CL_sent,BL_CL_result_mt
206671,0,,,4,1,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
217290,1,,,5,,1,TRUE,TRUE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
219253,1,1,,,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223444,1,,,3,2,1,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral
213335,1,,,2,3,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223455,1,4,,1,,0,TRUE,TRUE,Correctable,0,TRUE,TRUE,Correctable,TRUE,TRUE,Correctable,0,FALSE,FALSE,Correctable
223779,1,1,,,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223463,1,,,2,3,0,TRUE,TRUE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
210141,0,1,1,2,1,0,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement
223467,1,,,1,4,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
213466,1,2,2,1,,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
223545,1,,,2,3,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
202206,0,2,,3,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
223573,1,,,1,4,1,TRUE,TRUE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
222457,1,,,1,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223580,1,,4,,1,1,FALSE,FALSE,NA: Neither,1,FALSE,FALSE,NA: Neither,FALSE,FALSE,NA: Neither,0,TRUE,TRUE,NA: Neither
215386,1,2,1,2,,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
223583,1,,,3,2,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
206037,0,1,,4,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
223585,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
206207,0,3,,1,1,1,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223590,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
213136,1,1,,2,2,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
223598,1,,,2,3,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
210824,0,4,,1,,1,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223606,1,,,1,4,0,TRUE,TRUE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
220580,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223609,1,,,3,2,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral
213290,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223620,1,,,2,3,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
212693,1,,1,2,2,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
223656,1,,,,5,0,TRUE,TRUE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
203700,0,2,,1,2,0,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement
223657,1,,,1,4,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
224970,1,,,3,2,1,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral
223666,1,,,,5,0,TRUE,TRUE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
204583,0,5,,,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223688,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
208265,0,4,,1,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223692,1,2,,3,,0,TRUE,TRUE,NA: Neutral,0,TRUE,TRUE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
215316,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223693,1,1,,2,2,0,TRUE,TRUE,NA: Non-Agreement,0,TRUE,TRUE,NA: Non-Agreement,TRUE,TRUE,NA: Non-Agreement,0,TRUE,TRUE,NA: Non-Agreement
205036,0,5,,,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223706,1,1,,2,2,1,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,TRUE,TRUE,NA: Non-Agreement
218715,1,,1,3,1,0,TRUE,TRUE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,FALSE,FALSE,NA: Neutral
223708,1,,,1,4,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
216323,1,1,2,2,,0,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
223715,1,,,,5,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
208130,0,2,,1,2,0,TRUE,TRUE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement
223738,1,,3,,2,0,TRUE,TRUE,NA: Neither,0,TRUE,TRUE,NA: Neither,FALSE,FALSE,NA: Neither,0,FALSE,FALSE,NA: Neither
204632,0,4,,1,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223744,1,1,,1,3,1,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
205533,0,3,,2,,1,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223746,1,,,,5,1,FALSE,FALSE,Non-Error,1,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
203840,0,2,,,3,0,TRUE,TRUE,Correctable,0,FALSE,FALSE,Correctable,FALSE,FALSE,Correctable,1,FALSE,FALSE,Correctable
223749,1,2,3,,,0,TRUE,TRUE,NA: Neither,0,TRUE,TRUE,NA: Neither,FALSE,FALSE,NA: Neither,0,FALSE,FALSE,NA: Neither
202986,0,,,5,,0,TRUE,TRUE,NA: Neutral,0,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral
223752,1,,4,1,,0,TRUE,TRUE,NA: Neither,0,TRUE,TRUE,NA: Neither,FALSE,FALSE,NA: Neither,0,TRUE,TRUE,NA: Neither
214375,1,1,,2,2,1,TRUE,TRUE,NA: Non-Agreement,1,FALSE,FALSE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
223769,1,1,,1,3,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
209468,0,3,,2,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223770,1,1,,2,2,0,TRUE,TRUE,NA: Non-Agreement,1,TRUE,TRUE,NA: Non-Agreement,FALSE,FALSE,NA: Non-Agreement,0,FALSE,FALSE,NA: Non-Agreement
222865,1,,,1,4,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223783,1,,,,5,0,TRUE,TRUE,Non-Error,0,TRUE,TRUE,Non-Error,FALSE,FALSE,Non-Error,0,TRUE,TRUE,Non-Error
202350,0,4,,1,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,1,FALSE,FALSE,Non-Error
223785,1,,,4,1,1,FALSE,FALSE,NA: Neutral,1,FALSE,FALSE,NA: Neutral,FALSE,FALSE,NA: Neutral,0,TRUE,TRUE,NA: Neutral
216053,1,,,,5,1,TRUE,TRUE,Non-Error,1,FALSE,FALSE,Non-Error,FALSE,FALSE,Non-Error,0,FALSE,FALSE,Non-Error
223789,1,3,,2,,0,TRUE,TRUE,Correctable,0,TRUE,TRUE,Correctable,TRUE,TRUE,Correctable,0,TRUE,TRUE,Correctable
