idx,label,votes_negative,votes_neither,votes_neutral,votes_positive,FML_1_pred,FML_1_flagged,FML_1_sent,FML_1_result_mt,FME_pred,FME_flagged,FME_sent,FME_result_mt,FME_CL_pred,FME_CL_flagged,FME_CL_sent,FME_CL_result_mt,FML_CL_1_pred,FML_CL_1_flagged,FML_CL_1_sent,FML_CL_1_result_mt,FME_TOP_pred,FME_TOP_flagged,FME_TOP_sent,FME_TOP_result_mt
0,2,,,,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,
1,2,,,,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,
2,2,,,,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,
3,2,,,,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,
4,1,,,,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,
5,1,,,,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,
6,1,,,,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,
7,2,,,,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,
8,1,0,0,5,0,0,TRUE,FALSE,,0,TRUE,TRUE,Non-Error,0,FALSE,FALSE,,0,FALSE,FALSE,,0,FALSE,FALSE,
9,1,,,,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,,1,FALSE,FALSE,
10,2,,,,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,
11,2,,,,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,,2,FALSE,FALSE,
